fraudar,copycatch,flowscope,interpretation,confidence,disagreement_type,disagreement_line,priority_if_no_adaptation_low_exposure,priority_if_no_adaptation_high_exposure,priority_if_adaptation_possible
HIGH,HIGH,HIGH,"Multiple independent detectors agree (FRAUDAR, CopyCatch, FlowScope all HIGH). Corroboration across different evidence types (structure, timing, flow) is the strongest pattern this system can produce.",HIGH,agreement,"All triggered detectors agree (FRAUDAR, CopyCatch, FlowScope all HIGH).",P2,P1,P1
HIGH,HIGH,LOW,"Multiple independent detectors agree (FRAUDAR, CopyCatch all HIGH). Corroboration across different evidence types (structure, timing, flow) is the strongest pattern this system can produce; FlowScope reading LOW does not weaken this -- a detector's silence on one dimension doesn't disprove positive evidence on another.",HIGH,agreement,"All triggered detectors agree (FRAUDAR, CopyCatch both HIGH).",P2,P1,P1
HIGH,HIGH,N/A,"Multiple independent detectors agree (FRAUDAR, CopyCatch all HIGH). Corroboration across different evidence types (structure, timing, flow) is the strongest pattern this system can produce.",HIGH,agreement,"All triggered detectors agree (FRAUDAR, CopyCatch both HIGH).",P2,P1,P1
HIGH,LOW,HIGH,"Multiple independent detectors agree (FRAUDAR, FlowScope all HIGH). Corroboration across different evidence types (structure, timing, flow) is the strongest pattern this system can produce; CopyCatch reading LOW does not weaken this -- a detector's silence on one dimension doesn't disprove positive evidence on another.",HIGH,agreement,"All triggered detectors agree (FRAUDAR, FlowScope both HIGH).",P2,P1,P1
HIGH,LOW,LOW,"FRAUDAR flags this case; CopyCatch, FlowScope could see this ring's activity but did not flag it. This is a partial disagreement, not a contradiction: each detector targets a different mechanism, and one detector's silence doesn't disprove another's positive finding -- but it does mean the evidence is currently single-sourced.",MEDIUM,partial_disagreement,"FRAUDAR HIGH, CopyCatch, FlowScope LOW -- this is a genuine, real disagreement between detectors that see the same accounts differently, not a contradiction that cancels either signal.",P2,P2,P1
HIGH,LOW,N/A,"FRAUDAR flags this case; CopyCatch could see this ring's activity but did not flag it. This is a partial disagreement, not a contradiction: each detector targets a different mechanism, and one detector's silence doesn't disprove another's positive finding -- but it does mean the evidence is currently single-sourced.",MEDIUM,partial_disagreement,"FRAUDAR HIGH, CopyCatch LOW -- this is a genuine, real disagreement between detectors that see the same accounts differently, not a contradiction that cancels either signal.",P2,P2,P1
HIGH,N/A,HIGH,"Multiple independent detectors agree (FRAUDAR, FlowScope all HIGH). Corroboration across different evidence types (structure, timing, flow) is the strongest pattern this system can produce.",HIGH,agreement,"All triggered detectors agree (FRAUDAR, FlowScope both HIGH).",P2,P1,P1
HIGH,N/A,LOW,"FRAUDAR flags this case; FlowScope could see this ring's activity but did not flag it. This is a partial disagreement, not a contradiction: each detector targets a different mechanism, and one detector's silence doesn't disprove another's positive finding -- but it does mean the evidence is currently single-sourced.",MEDIUM,partial_disagreement,"FRAUDAR HIGH, FlowScope LOW -- this is a genuine, real disagreement between detectors that see the same accounts differently, not a contradiction that cancels either signal.",P2,P2,P1
HIGH,N/A,N/A,"FRAUDAR is the only applicable signal for this ring (CopyCatch, FlowScope N/A -- this ring's activity has no structural basis for those detectors to evaluate). Single-source evidence, uncontradicted.",MEDIUM,single_source,"Single-source evidence (FRAUDAR only) -- no other detector was structurally able to weigh in, so there is nothing to disagree with.",P2,P2,P1
LOW,HIGH,HIGH,"Multiple independent detectors agree (CopyCatch, FlowScope all HIGH). Corroboration across different evidence types (structure, timing, flow) is the strongest pattern this system can produce; FRAUDAR reading LOW does not weaken this -- a detector's silence on one dimension doesn't disprove positive evidence on another.",HIGH,agreement,"All triggered detectors agree (CopyCatch, FlowScope both HIGH).",P2,P1,P1
