case_id,n_accounts,fraudar,copycatch,flowscope,interpretation,confidence,adaptation_indicator,exposure,priority
ring_42f49fa701,6,HIGH,N/A,N/A,"FRAUDAR is the only applicable signal for this ring (CopyCatch, FlowScope N/A -- this ring's activity has no structural basis for those detectors to evaluate). Single-source evidence, uncontradicted.",MEDIUM,NONE,5057.89,P2
ring_72da5c9114,4,N/A,N/A,HIGH,"FlowScope is the only applicable signal for this ring (FRAUDAR, CopyCatch N/A -- this ring's activity has no structural basis for those detectors to evaluate). Single-source evidence, uncontradicted.",MEDIUM,NONE,75536.1,P2
ring_52aa7cddb1,7,N/A,HIGH,N/A,"CopyCatch is the only applicable signal for this ring (FRAUDAR, FlowScope N/A -- this ring's activity has no structural basis for those detectors to evaluate). Single-source evidence, uncontradicted.",MEDIUM,NONE,38883.47,P2
attack1b_fraudar_corrected,10,LOW,N/A,N/A,"No detector currently flags this pattern (FRAUDAR checked, none triggered). Not currently actionable.",LOW,POSSIBLE,8187.15,P1
attack2b_copycatch_spaced,8,N/A,LOW,N/A,"No detector currently flags this pattern (CopyCatch checked, none triggered). Not currently actionable.",LOW,POSSIBLE,16675.92,P1
attack3_flowscope_delay,5,N/A,N/A,LOW,"No detector currently flags this pattern (FlowScope checked, none triggered). Not currently actionable.",LOW,NONE,76359.4,P3
attack4_cross_detector,7,LOW,LOW,N/A,"No detector currently flags this pattern (FRAUDAR, CopyCatch checked, none triggered). Not currently actionable.",LOW,NONE,17044.79,P3
"SYN-AGREE-01 [SYNTHETIC — illustrates rule table, not a live detection]",9,HIGH,HIGH,HIGH,"Multiple independent detectors agree (FRAUDAR, CopyCatch, FlowScope all HIGH). Corroboration across different evidence types (structure, timing, flow) is the strongest pattern this system can produce.",HIGH,NONE,118000.0,P1
"SYN-AGREE-02 [SYNTHETIC — illustrates rule table, not a live detection]",7,HIGH,LOW,HIGH,"Multiple independent detectors agree (FRAUDAR, FlowScope all HIGH). Corroboration across different evidence types (structure, timing, flow) is the strongest pattern this system can produce; CopyCatch reading LOW does not weaken this -- a detector's silence on one dimension doesn't disprove positive evidence on another.",HIGH,NONE,94000.0,P1
"SYN-DISAGREE-01 [SYNTHETIC — illustrates rule table, not a live detection]",6,HIGH,LOW,N/A,"FRAUDAR flags this case; CopyCatch could see this ring's activity but did not flag it. This is a partial disagreement, not a contradiction: each detector targets a different mechanism, and one detector's silence doesn't disprove another's positive finding -- but it does mean the evidence is currently single-sourced.",MEDIUM,NONE,31000.0,P2
